Crohn's Disease , ITF2357 , Italfarmaco ,20-Oct-07, Phase 1 , Terminated\,,,, 
 Crohn's Disease , Contrast Enhanced Ultrasound , University of Michigan ,20-Feb-15, Phase 1 , Withdrawn\,,,,
 Polycystic Liver Disease , Lanreotide Autogel 90 mg and 120 mg , Universitaire Ziekenhuizen Leuven ,20-Mar-11, Phase 2 , Completed\,,,,
 Autoimmune/Connective Tissue Diseases , Anakinra , National Institute of Arthritis and Musculoskeletal and Skin Diseases (NIAMS) ,20-Sep-11, Phase 1 , Completed\,,,,
 Sickle Cell Disease , Placebo , Virginia Commonwealth University , June 2007 , Phase 1 , Withdrawn\,,,,
 Chronic Obstructive Pulmonary Disease (COPD) , Disease Management , Air Liquide Sant'e9 International ,20-Sep-10, Phase 4 , Completed\,,,,
 Parkinson Disease , [18F]MK-9470 , Institute for Neurodegenerative Disorders ,20-May-11, Phase 1 , Completed\,,,,
 Cough , Capsaicin , University of Florida ,20-Oct-14, Phase 1 , Completed\,,,,
 Graft Versus Host Disease , graft versus host disease prophylaxis/therapy , Fred Hutchinson Cancer Research Center , June 2012 , Phase 2 , Completed\,,,,
 Heart Disease , Hybrid revascularization , Silesian Centre for Heart Diseases ,20-Nov-09, Phase 2 , Completed\,,,,
 Crohn's Disease , Capsule Endoscopy , University of Rochester , June 2005 , Phase 1 , Withdrawn\,,,,
 Acute GVH Disease , Human Umbilical Cord Derived MSC , Affiliated Hospital to Academy of Military Medical Sciences ,20-Dec-12, Phase 1 , Enrolling by invitation\,,,,
 Crohn's Disease , STA-5326 , Synta Pharmaceuticals Corp. ,20-Feb-04, Phase 1 , Completed\,,,,
 Parkinson Disease , GM1 ganglioside , Thomas Jefferson University ,19-Nov-99, Phase 2 , Completed\,,,,
 Heart Failure , Home-based disease management , Japanese Heart Failure Outpatient Disease Management Evaluation Investigators ,20-Jan-07, Phase 3 , Completed\,,,,
 Parkinson's Disease , CJH1 (CLR4001) , Alexandra Marine and General Hospital ,20-Sep-12, Phase 1 , Unknown status\,,,,
 Lyme Disease , Education about disease prevention , Brigham and Women's Hospital ,19-Apr-97, Phase 3 , Completed\,,,,
 Parkinson's Disease , 18F-DTBZ , Chang Gung Memorial Hospital ,20-May-10, Phase 2 , Completed\,,,,
 Crohn Disease , Wellbutrin (bupropion) , Altschuler Eric M.D., May 2005 , Phase 2 , Completed\,,,,
 Crohn's Disease , Crohn's Disease , Ferring Pharmaceuticals ,20-Oct-05, Phase 4 , Completed\,,,,
 Parkinson Disease , [123I] IBVM and SPECT imaging, Institute for Neurodegenerative Disorders , November 2006 , Phase 2 , Active, not recruiting\,,,
 Crohn Disease , rhIGF (Increlex) , Nationwide Children's Hospital ,20-Oct-08, Phase 2 , Terminated\,,,,
 Chronic Beryllium Disease , Mesalamine , National Jewish Health ,20-Mar-10, Phase 1 , Completed\,,,,
 Crohn's Disease , Adalimumab , Abbott ,20-Apr-07, Phase 3 , Completed\,,,,
 Idiopathic Parkinson's Disease , Transdermal nicotine , Assistance Publique - H\'f4pitaux de Paris ,20-Feb-09, Phase 2 , Completed\,,,,
 Parkinson Disease , CEP-1347 10mg , Cephalon ,20-Mar-02, Phase 2 , Terminated\,,,,
 Sensorineural Hearing Loss , Anakinra , Andrea Vambutas , June 2011 , Phase 1 , Completed\,,,,
 Parkinson's Disease , Transcranial Magnetic Stimulation (TMS) , University of Florida ,20-Aug-13, Phase 0 , Completed\,,,,
 Crohn Disease , Infliximab with azathioprine (IIFX + AZA) , Children's Memorial Health Institute - Poland, November 2008 , Phase 3 , Unknown status\,,,,
 Crohn Disease , Infliximab 5 mg/kg , Centocor Inc., June 1995 , Phase 2 , Completed\,,,,
 Alzheimer Disease , [18F] PBR111 , Institute for Neurodegenerative Disorders ,20-Mar-10, Phase 1 , Completed\,,,,
 Graft Versus Host Disease , Rapamycin , Yale University ,20-Feb-08, Phase 1 , Terminated\,,,,
 Crohn's Disease , bowel prep regimen first boost 6 oz. and second boost 3 oz. , Given Imaging Ltd. ,20-Mar-12, Phase 1 , Completed\,,,,
 Bipolar Disorder , Chronic care model for Bipolar Disorder , VA Office of Research and Development ,20-May-08, Phase 3 , Completed\,,,,
 Alzheimer's Disease , I-123-MNI-168 , Institute for Neurodegenerative Disorders ,20-Jan-09, Phase 1 , Terminated\,,,,
 Crohn Disease , Sargramostim (Leukine) , Genzyme - a Sanofi Company, December 2004 , Phase 1 , Terminated\,,,,
 Alzheimer's Disease , lipoic acid and fish oil concentrate , Oregon Health and Science University ,20-Sep-10, Phase 1 , Unknown status\,,,,
 Diabetes Mellitus, With Complications , Intravenous Insulin on cardiac disease in diabetic pts -  Florida Atlantic University, September 2007 , Phase 3 , Withdrawn\,,,,
 Bowens Disease , Imiquimod , Brooke Army Medical Center ,20-Nov-06, Phase 2 , Enrolling by invitation\,,,,
 Crohn's Disease , Nitazoxanide , Romark Laboratories L.C. ,20-Aug-05, Phase 2 , Terminated\,,,,
 Coronary Heart Disease , Supervised exercise on a stationary bicycle -  3-5 days a week, Basque Health Service , January 2005 , Phase 3 , Completed\,,,,
 Diabetes , umbilical cord mesenchymal stem cells , Institute of Hematology & Blood Diseases Hospital ,20-Feb-14, Phase 1 , Enrolling by invitation\,,,,
 Graft-Versus-Host Disease , Cyclosporine , Hospital Universitario Dr. Jose E. Gonzalez ,20-May-14, Phase 2 , Completed\,,,,
 Glioblastoma , New Castle Disease Virus , Hadassah Medical Organization , July 2011 , Phase 1 , Withdrawn\,,,,
 Parkinson's Disease , ONO-2506PO , Ono Pharmaceutical Co. Ltd ,20-Jan-04, Phase 2 , Completed\,,,,
 Crohn Disease , Autologous mesenchymal stem cells , Clinica Universidad de Navarra, June 2010 , Phase 1 , Completed\,,,,
 Huntington's Disease , SEN0014196 , Siena Biotech S.p.A. ,20-Nov-11, Phase 1 , Completed\,,,,
 Alzheimer Disease , Transdermal estradiol , University of Wisconsin- Madison, September 2001 , Phase 2 , Completed\,,,,
 Parkinson Disease , [18F] CFPyPB , Institute for Neurodegenerative Disorders ,20-Aug-11, Phase 1 , Completed\,,,,
 Alzheimer's Disease , Isotretinoin , University Hospitals Cleveland Medical Center ,20-Apr-12, Phase 1 , Terminated\,,,,
 Crohn's Disease , Human Placenta-Derived Cells PDA001 Intravenous Infusion , Celgene Corporation ,20-Aug-10, Phase 2 , Completed\,,,,
 Parkinson Disease , [123I] IBVM and SPECT imaging , Institute for Neurodegenerative Disorders , July 2007 , Phase 0 , Completed\,,,,
 Rheumatic Valve Disease , Cardioblate\'ae Surgical Ablation System , China National Center for Cardiovascular Diseases ,20-Mar-08, Phase 3 , Unknown status\,,,,
 Crohn's Disease , Certolizumab pegol , UCB Pharma ,20-Jan-07, Phase 3 , Completed\,,,,
 Crohn's Disease , Hematopoietic stem cell transplantation , University of California - Los Angeles, February 2014 , Phase 0 , Withdrawn\,,,,
 Autoimmune Diseases , Evaluation of vaccines against flu , Assistance Publique - H\'f4pitaux de Paris ,20-Oct-09, Phase 4 , Completed\,,,,
 Crohn's Disease , Treatment Algorithm for Crohn's Disease , University of Western Ontario - Canada, January 2010 , Phase 4 , Completed\,,,,
 Alzheimer's Disease , CERE-110: Adeno-Associated Virus Delivery of NGF , Ceregene ,20-Sep-09, Phase 2 , Active, not recruiting\,,,
 Crohn's Disease , QAX576 , Novartis Pharmaceuticals , June 2011 , Phase 2 , Completed\,,,,
 Coronary Artery Disease , Influenza vaccination: Influvac (SolvayPharma) , Institute of Cardiology - Warsaw - Poland, October 2004 , Phase 2 , Completed\,,,,
 Crohn's Disease , adalimumab , AbbVie (prior sponsor -  Abbott), February 2011 , Phase 3 , Completed\,,,,
 Inflammatory Bowel Disease , Multi-Convergent Therapy , Cardiff and Vale University Health Board ,20-Jan-11, Phase 1 , Completed\,,,,
 Crohn's Disease , VSL#3 , Federico II University ,20-Sep-12, Phase 4 , Unknown status\,,,,
 Meniere's Disease , Betahistine 24 mg bid (Betaserc) , Solvay Pharmaceuticals ,20-Jan-03, Phase 4 , Completed\,,,,
 Crohn's Disease , Measurement of serum infliximab and anti-infliximab antibodies , Copenhagen University Hospital at Herlev , June 2009 , Phase 4 , Unknown status\,,,,
 Cardiovascular Diseases , lecture , Northwestern University ,20-Oct-10, Phase 0 , Completed\,,,,
 Alzheimer Disease , galantamine , Janssen Pharmaceutical K.K. ,20-Apr-01, Phase 3 , Completed\,,,,
 Alzheimer's Disease , Drug: NIC5-15 , Humanetics Corporation ,20-Apr-07, Phase 2 , Completed\,,,,
 Crohn's Disease , Given\'ae Diagnostic System including PillCamTM SB Capsules , Rabin Medical Center ,20-Jan-07, Phase 3 , Completed\,,,,
 Huntington's Disease , Placebo , Medivation Inc., July 2007 , Phase 2 , Completed\,,,,
 Inflammation , Naltrexone-HCl , Penn State University ,20-Sep-06, Phase 2 , Completed\,,,,
 Crohn's Disease , adult human mesenchymal stem cells , Mesoblast International S\'e0rl ,20-May-07, Phase 3 , Active, not recruiting\,,,
 Heart Disease, Ischemic , Gadolinium -  Northwestern University, June 2010 , Phase 2 , Completed\,,,,
 Parkinson's Disease , Repetitive Transcranial Magnetic Stimulation , University Hospital -  Toulouse, October 2010 , Phase 2 , Completed\,,,,
 IDIOPATHIC PARKINSON'S DISEASE , Rotigotine , UCB Pharma , July 2012 , Phase 3 , Completed\,,,,
 Parkinson's Disease , Pioglitazone , University of Rochester ,20-Mar-11, Phase 2 , Completed\,,,,
 Parkinson Disease , [123I] 5-IA , Institute for Neurodegenerative Disorders ,20-Nov-06, Phase 2 , Completed\,,,,
 Von Willebrand Disease , Biostate\'ae , CSL Behring , June 2009 , Phase 2 , Completed\,,,,
 Parkinson's Disease , SPM 962 , Otsuka Pharmaceutical Co. Ltd, January 2008 , Phase 2 , Completed\,,,,
 Parkinson Disease , Erythropoietin human recombinant (EPOrh) , International Center for Neurological Restoration - Cuba, August 2008 , Phase 1 , Completed\,,,,
 Crohn's Disease , certolizumab pegol , UCB Pharma ,20-Aug-10, Phase 2 , Active, not recruiting\,,,
 Lyme Disease , Skin Biopsy , National Institute of Allergy and Infectious Diseases (NIAID) ,20-May-10, Phase 0 , Completed\,,,,
 Parkinson's Disease , nicotine , Neuraltus Pharmaceuticals Inc., October 2009 , Phase 1 , Completed\,,,,
 Parkinson Disease , DBS Surgery , National Institute of Neurological Disorders and Stroke (NINDS) ,20-Nov-11, Phase 1 , Withdrawn\,,,,
 Autoimmune Diseases , Autologous hematopoietic stem cell transplantation , Charite University - Berlin - Germany, January 1998 , Phase 1 , Unknown status\,,,,
 Rheumatic Heart Disease , mHealth , Sri Sathya Sai Institute of Higher Medical Sciences ,20-Aug-14, Phase 2 , Completed\,,,,
 Alzheimer Disease , atomoxetine hydrochloride , Eli Lilly and Company ,20-Oct-03, Phase 2 , Completed\,,,,
 Crohn's Disease , Rifaximin-EIR , Alfa Wassermann S.p.A. ,20-Sep-07, Phase 2 , Completed\,,,,
 Cardiovascular Disease , Periodontal therapy , Boston University ,20-Sep-04, Phase 2 , Unknown status\,,,,
 Chronic Disease , Internet Chronic Disease Self-Management Program (ICDSMP) , Stanford University ,20-Oct-08, Phase 3 , Completed\,,,,
 Crohn's Diseases , FMT , The Second Hospital of Nanjing Medical University ,20-Nov-12, Phase 2 , Unknown status\,,,,
 Crohn Disease , UC-MSCs by peripheral intravenous infusion , Fuzhou General Hospital , June 2012 , Phase 1 , Completed\,,,,
 Parkinson's Disease , RM-131 , Motus Therapeutics, Inc. , September 2013 , Phase 2 , Terminated\,,,
 Parkinson Disease , coenzyme q10 , National University Hospital, Singapore , June 2012 , Phase 2 , Completed\,,,
 Alzheimer's Disease , Dimebon , Medivation, Inc. , May 2008 , Phase 3 , Completed\,,,
 Chronic Kidney Disease , Video Telemonitoring Device with Clinical Care Modules , Minneapolis Veterans Affairs Medical Center ,20-Mar-12, Phase 3 , Completed\,,,,
 Alzheimer's Disease , PF-04360365 0.1 mg/kg , Pfizer ,20-Dec-08, Phase 2 , Completed\,,,,
 Sjogren's Disease , Rituximab (mabthera) Injection , University Hospital, Brest , March 2008 , Phase 2 , Completed\,,,
 Pre-hypertension , carvedilol phosphate , University of Minnesota - Clinical and Translational Science Institute ,20-Nov-07, Phase 1 , Completed\,,,,
 Alzheimer's Disease , PF-04360365 10 mg/kg , Pfizer ,20-Aug-09, Phase 2 , Completed\,,,,
 Crohn's Disease , AMG 827 350 MG , Amgen , July 2010 , Phase 2 , Terminated\,,,,
 Crohn's Disease , QBECO , Qu Biologics Inc. ,20-Mar-13, Phase 1 , Completed\,,,,
 Crohn Disease , CCX282-B , ChemoCentryx ,20-Aug-04, Phase 2 , Completed\,,,,
 Parkinson's Disease , Medtronic Activa PC+S Sensing Deep Brain Stimulator Generator , Nader Pouratian ,20-Sep-15, Phase 1 , Withdrawn\,,,,
 Parkinson Disease , Isradipine , University of Rochester ,20-Sep-14, Phase 3 , Active, not recruiting\,,,
 Parkinson's Disease , Rotigotine , Azienda Ospedaliera Cardinale G. Panico ,20-Dec-13, Phase 2 , Terminated\,,,,
 Collapsing Glomerulopathy , Kidney needle biopsy , National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK) ,20-Nov-04, Phase 1 , Completed\,,,,
 Alzheimer's Disease , Nicotinamide , University of California, Irvine , January 2008 , Phase 1 , Unknown status\,,,
 Alzheimer's Disease , PPI-1019 (APAN) , PRAECIS Pharmaceuticals Inc. ,20-Dec-04, Phase 1 , Completed\,,,,
 Inflammatory Bowel Diseases , Mesalazine, Tripterygium glycosides , Zhu Weiming , January 2014 , Phase 2 , Unknown status\,,,
 Huntington's Disease , Dimebon , Medivation, Inc. , October 2006 , Phase 1 , Completed\,,,
 Hodgkin's Disease , G-CSF Plus Plerixafor , Genzyme, a Sanofi Company , November 2004 , Phase 2 , Completed\,,,
 Crohn's Disease , adult human mesenchymal stem cells , Mesoblast International S\'e0rl ,20-Sep-10, Phase 3 , Active, not recruiting\,,,
 Coronary Artery Disease , 99mTc-ECDG , Cell>Point LLC ,20-Feb-14, Phase 2 , Enrolling by invitation\,,,,
 Crohn's Disease , PF-00547659 SC injection , Pfizer ,20-Apr-11, Phase 2 , Completed\,,,,
 Chronic Granulomatous Disease , Infliximab , National Institute of Allergy and Infectious Diseases (NIAID) ,20-May-06, Phase 1 , Terminated\,,,,
 Parkinson's Disease , ioflupane 123I (DATSCAN\'ae) , University Hospital, Toulouse , March 2009 , Phase 2 , Completed\,,,
